encoder,layer,aggregate_map,aggregate_n,same_instr_map_mean,same_instr_n_cells,cross_instr_map_mean,cross_instr_n_cells
CLaMP3,0,0.016719425097107887,1714,0.11854169517755508,2,0.31651116348803043,20
CLaMP3,1,0.014911229722201824,1714,0.11659236624836922,2,0.3440087825059891,20
CLaMP3,2,0.01506276149302721,1714,0.12512672692537308,2,0.3509816475212574,20
CLaMP3,3,0.014159408397972584,1714,0.12468444555997849,2,0.3548959940671921,20
CLaMP3,4,0.014392741955816746,1714,0.11857908219099045,2,0.3632968232035637,20
CLaMP3,5,0.014215030707418919,1714,0.12373997271060944,2,0.3718803904950619,20
CLaMP3,6,0.012873569503426552,1714,0.11866316944360733,2,0.3598222181200981,20
CLaMP3,7,0.011814238503575325,1714,0.10480641573667526,2,0.3451017826795578,20
CLaMP3,8,0.010713359341025352,1714,0.11320065334439278,2,0.33088949248194693,20
CLaMP3,9,0.010531282052397728,1714,0.09826397150754929,2,0.3291228786110878,20
CLaMP3,10,0.009911035187542439,1714,0.10770699754357338,2,0.32354878038167956,20
CLaMP3,11,0.01017984002828598,1714,0.0855997521430254,2,0.31271704435348513,20
CLaMP3,12,0.01097569614648819,1714,0.08505880553275347,2,0.3087651513516903,20
MERT-v1-95M,0,0.009946374222636223,1714,0.10914777033030987,2,0.24362379610538482,20
MERT-v1-95M,1,0.008970864117145538,1714,0.08380246441811323,2,0.24385954700410367,20
MERT-v1-95M,2,0.009762034751474857,1714,0.11534004006534815,2,0.2729103688150644,20
MERT-v1-95M,3,0.012858868576586246,1714,0.1120981927961111,2,0.31255943402647973,20
MERT-v1-95M,4,0.014300552196800709,1714,0.1094294898211956,2,0.32213463857769964,20
MERT-v1-95M,5,0.01540213730186224,1714,0.0999632328748703,2,0.318444786965847,20
MERT-v1-95M,6,0.013923987746238708,1714,0.11023195087909698,2,0.32803563103079797,20
MERT-v1-95M,7,0.015557751059532166,1714,0.11260779201984406,2,0.331356630474329,20
MERT-v1-95M,8,0.01612599939107895,1714,0.10613518953323364,2,0.33214528411626815,20
MERT-v1-95M,9,0.0179422739893198,1714,0.10545633733272552,2,0.3217879142612219,20
MERT-v1-95M,10,0.023033015429973602,1714,0.1185106486082077,2,0.31981500089168546,20
MERT-v1-95M,11,0.028110191226005554,1714,0.11390556022524834,2,0.31774612702429295,20
MERT-v1-95M,12,0.038208410143852234,1714,0.10170096158981323,2,0.29907984733581544,20
MuQ,0,0.00764844473451376,1714,0.12187816202640533,2,0.2946371152997017,20
MuQ,1,0.01070963591337204,1714,0.1191500574350357,2,0.3470549710094929,20
MuQ,2,0.011419794522225857,1714,0.12478986009955406,2,0.3753429036587477,20
MuQ,3,0.012096559628844261,1714,0.13484562933444977,2,0.37455919831991197,20
MuQ,4,0.01533755473792553,1714,0.13491663709282875,2,0.40491346158087255,20
MuQ,5,0.016937516629695892,1714,0.13981271535158157,2,0.3998234536498785,20
MuQ,6,0.01995924860239029,1714,0.13182935118675232,2,0.42200991287827494,20
MuQ,7,0.03513193130493164,1714,0.13753437995910645,2,0.49282423630356786,20
MuQ,8,0.040943559259176254,1714,0.14384597539901733,2,0.4909427538514137,20
MuQ,9,0.04487099125981331,1714,0.1395871266722679,2,0.48451388254761696,20
MuQ,10,0.06450828909873962,1714,0.153091199696064,2,0.4780680924654007,20
MuQ,11,0.08664830774068832,1714,0.14733939617872238,2,0.4904888838529587,20
MuQ,12,0.09120475500822067,1714,0.12715207785367966,2,0.44703328013420107,20
OMARRQ-multifeature-25hz,0,0.021404361352324486,1714,0.0836518183350563,2,0.2676048828288913,20
OMARRQ-multifeature-25hz,1,0.035027604550123215,1714,0.08530445024371147,2,0.31425399594008924,20
OMARRQ-multifeature-25hz,2,0.026408204808831215,1714,0.09327811375260353,2,0.31663470789790155,20
OMARRQ-multifeature-25hz,3,0.019141383469104767,1714,0.09246065467596054,2,0.31675399411469696,20
OMARRQ-multifeature-25hz,4,0.016319379210472107,1714,0.09594269841909409,2,0.30912937596440315,20
OMARRQ-multifeature-25hz,5,0.017303893342614174,1714,0.10428997129201889,2,0.31437063217163086,20
OMARRQ-multifeature-25hz,6,0.015578115358948708,1714,0.10387272387742996,2,0.31462815683335066,20
OMARRQ-multifeature-25hz,7,0.01609823852777481,1714,0.11473007500171661,2,0.35040619745850565,20
OMARRQ-multifeature-25hz,8,0.015967441722750664,1714,0.10393430292606354,2,0.3592740226536989,20
OMARRQ-multifeature-25hz,9,0.017675016075372696,1714,0.10396958887577057,2,0.36479385029524564,20
OMARRQ-multifeature-25hz,10,0.023713435977697372,1714,0.11791153252124786,2,0.3995525848120451,20
OMARRQ-multifeature-25hz,11,0.033934589475393295,1714,0.1250833198428154,2,0.4396553039550781,20
OMARRQ-multifeature-25hz,12,0.038033269345760345,1714,0.1360410898923874,2,0.43983048722147944,20
OMARRQ-multifeature-25hz,13,0.03257836401462555,1714,0.13107667863368988,2,0.4202368691563606,20
OMARRQ-multifeature-25hz,14,0.04456990957260132,1714,0.13537736237049103,2,0.4602059870958328,20
OMARRQ-multifeature-25hz,15,0.0472884401679039,1714,0.13405875116586685,2,0.4664610538631678,20
OMARRQ-multifeature-25hz,16,0.038967546075582504,1714,0.1272682137787342,2,0.44352426528930666,20
OMARRQ-multifeature-25hz,17,0.0323525108397007,1714,0.12383710592985153,2,0.4267772477120161,20
OMARRQ-multifeature-25hz,18,0.02940194681286812,1714,0.12458981946110725,2,0.41772960536181925,20
OMARRQ-multifeature-25hz,19,0.028983384370803833,1714,0.13206607848405838,2,0.41514459922909736,20
OMARRQ-multifeature-25hz,20,0.03287481516599655,1714,0.14547619223594666,2,0.4262173015624285,20
OMARRQ-multifeature-25hz,21,0.029903540387749672,1714,0.12060258910059929,2,0.389463721588254,20
OMARRQ-multifeature-25hz,22,0.020422980189323425,1714,0.0980302281677723,2,0.3476288698613644,20
OMARRQ-multifeature-25hz,23,0.01266036368906498,1714,0.08405785635113716,2,0.2818329375237226,20
